Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method
PROD00000172,USER00000172,2024-08-26,2024-11-14,Toys,47.05,3,Not as described,80.0,43,Female,City29,Gift Card
PROD00000173,USER00000173,2023-06-05,2024-09-28,Toys,9.03,5,Not as described,481.0,39,Male,City35,Credit Card
PROD00000182,USER00000182,2023-10-31,2024-09-25,Clothing,69.89,4,Wrong item,330.0,41,Male,City27,Credit Card
PROD00000183,USER00000183,2023-03-31,2023-10-26,Toys,340.06,3,Not as described,209.0,56,Female,City92,Credit Card
PROD00000188,USER00000188,2023-07-26,2024-03-24,Clothing,356.89,2,Defective,242.0,36,Female,City33,Debit Card
PROD00000204,USER00000204,2023-04-25,2024-06-19,Clothing,362.81,5,Not as described,421.0,37,Male,City12,Gift Card
PROD00000213,USER00000213,2023-11-07,2024-05-19,Electronics,488.4,3,Not as described,194.0,51,Female,City90,Debit Card
PROD00000214,USER00000214,2023-07-25,2024-02-14,Books,270.92,1,Defective,204.0,36,Female,City27,PayPal
PROD00000220,USER00000220,2023-11-09,2023-11-22,Clothing,128.35,3,Not as described,13.0,37,Male,City64,Gift Card
PROD00000221,USER00000221,2023-04-19,2023-12-03,Toys,144.86,4,Changed mind,228.0,64,Male,City22,Debit Card
PROD00000223,USER00000223,2023-06-09,2024-05-29,Clothing,409.65,2,Not as described,355.0,64,Male,City23,Credit Card
PROD00000224,USER00000224,2023-03-31,2023-04-13,Home,170.03,3,Defective,13.0,21,Male,City74,PayPal
PROD00000227,USER00000227,2023-09-25,2024-02-09,Books,277.15,1,Wrong item,137.0,67,Male,City93,Credit Card
PROD00000229,USER00000229,2023-06-06,2024-02-14,Home,427.99,2,Defective,253.0,62,Male,City35,Debit Card
PROD00000230,USER00000230,2023-05-12,2024-06-08,Home,130.63,1,Defective,393.0,40,Female,City53,Gift Card
PROD00000237,USER00000237,2023-12-10,2024-02-12,Home,359.73,5,Wrong item,64.0,50,Female,City84,PayPal
PROD00000238,USER00000238,2024-06-17,2024-08-22,Toys,378.25,5,Changed mind,66.0,27,Male,City73,Debit Card
PROD00000241,USER00000241,2023-03-11,2024-04-30,Clothing,151.4,1,Changed mind,416.0,24,Male,City14,Debit Card
PROD00000247,USER00000247,2024-08-09,2024-09-04,Toys,331.08,3,Defective,26.0,65,Male,City58,Gift Card
PROD00000248,USER00000248,2023-06-19,2024-09-05,Books,27.39,3,Changed mind,444.0,56,Female,City99,Debit Card
PROD00000249,USER00000249,2023-02-25,2024-12-24,Home,341.03,4,Defective,668.0,69,Female,City62,Gift Card
PROD00000250,USER00000250,2023-02-06,2024-12-02,Toys,299.98,4,Changed mind,665.0,43,Female,City8,Credit Card
PROD00000252,USER00000252,2024-01-03,2024-04-26,Home,80.88,3,Not as described,114.0,35,Female,City46,PayPal
PROD00000260,USER00000260,2023-01-29,2024-03-22,Home,395.28,4,Defective,418.0,47,Male,City29,Credit Card
PROD00000262,USER00000262,2023-05-13,2024-11-01,Clothing,48.49,2,Wrong item,538.0,27,Male,City77,Credit Card
PROD00000263,USER00000263,2023-03-25,2024-04-11,Books,365.3,4,Defective,383.0,70,Male,City60,Debit Card
PROD00000266,USER00000266,2023-05-09,2024-02-15,Toys,333.67,5,Wrong item,282.0,61,Female,City19,PayPal
PROD00000274,USER00000274,2024-01-19,2024-11-02,Electronics,392.03,5,Defective,288.0,21,Male,City29,Debit Card
PROD00000277,USER00000277,2023-07-31,2024-01-26,Books,182.75,5,Not as described,179.0,70,Male,City59,PayPal
PROD00000278,USER00000278,2023-06-06,2024-05-09,Books,161.86,3,Defective,338.0,39,Male,City12,Credit Card
PROD00000288,USER00000288,2023-02-09,2024-01-03,Books,338.15,5,Wrong item,328.0,29,Female,City99,PayPal
PROD00000295,USER00000295,2023-03-16,2023-05-09,Clothing,477.66,3,Defective,54.0,67,Male,City2,PayPal
PROD00000298,USER00000298,2023-02-22,2024-08-16,Toys,43.12,1,Defective,541.0,63,Male,City5,Credit Card
PROD00000301,USER00000301,2023-10-18,2024-02-12,Home,404.99,3,Not as described,117.0,43,Male,City8,Debit Card
PROD00000307,USER00000307,2023-12-14,2023-12-21,Books,423.45,2,Changed mind,7.0,29,Female,City75,PayPal
PROD00000310,USER00000310,2023-01-16,2023-05-26,Clothing,365.89,5,Not as described,130.0,27,Male,City43,Credit Card
PROD00000314,USER00000314,2023-10-13,2024-05-26,Electronics,192.67,2,Wrong item,226.0,53,Female,City4,Gift Card
PROD00000335,USER00000335,2023-03-16,2024-09-06,Clothing,45.39,5,Defective,540.0,45,Male,City99,Gift Card
PROD00000341,USER00000341,2023-05-20,2024-03-14,Books,392.99,1,Changed mind,299.0,23,Male,City32,PayPal
PROD00000343,USER00000343,2023-03-24,2024-05-23,Electronics,204.18,5,Changed mind,426.0,61,Female,City51,PayPal
PROD00000346,USER00000346,2023-05-04,2024-08-12,Toys,198.8,4,Wrong item,466.0,46,Male,City40,Debit Card
PROD00000349,USER00000349,2023-10-14,2023-12-22,Home,249.94,5,Wrong item,69.0,49,Female,City66,Gift Card
PROD00000353,USER00000353,2024-05-08,2024-06-04,Home,448.77,2,Changed mind,27.0,68,Female,City79,Credit Card
PROD00000358,USER00000358,2023-01-02,2024-11-24,Books,253.18,2,Defective,692.0,31,Female,City34,Debit Card
PROD00000363,USER00000363,2023-05-30,2023-11-01,Home,220.9,4,Defective,155.0,25,Female,City59,PayPal
PROD00000364,USER00000364,2023-12-26,2024-01-10,Clothing,244.73,1,Defective,15.0,69,Male,City33,Credit Card
PROD00000365,USER00000365,2023-03-04,2024-04-19,Electronics,39.41,1,Not as described,412.0,19,Female,City64,Gift Card
PROD00000367,USER00000367,2024-03-20,2024-11-05,Toys,471.71,5,Wrong item,230.0,54,Male,City63,Debit Card
PROD00000369,USER00000369,2024-02-09,2024-03-12,Toys,347.56,1,Changed mind,32.0,69,Female,City8,Gift Card
PROD00000372,USER00000372,2023-08-10,2024-02-27,Home,96.49,5,Wrong item,201.0,67,Female,City75,Debit Card
PROD00000375,USER00000375,2023-11-25,2024-06-23,Clothing,425.24,4,Not as described,211.0,33,Male,City69,Gift Card
PROD00000384,USER00000384,2023-08-05,2023-11-11,Books,239.47,3,Defective,98.0,62,Female,City44,Credit Card
PROD00000385,USER00000385,2023-05-21,2024-10-18,Books,197.65,1,Defective,516.0,32,Male,City32,Credit Card
PROD00000391,USER00000391,2023-12-22,2024-11-30,Electronics,55.73,1,Defective,344.0,39,Male,City73,PayPal
PROD00000393,USER00000393,2023-07-19,2024-03-12,Clothing,148.57,5,Wrong item,237.0,66,Female,City96,Gift Card
PROD00000402,USER00000402,2023-05-11,2024-07-05,Books,260.52,3,Not as described,421.0,70,Female,City74,Credit Card
PROD00000407,USER00000407,2023-08-21,2023-11-11,Clothing,449.14,4,Wrong item,82.0,40,Male,City19,Gift Card
PROD00000413,USER00000413,2023-11-01,2024-05-19,Toys,193.41,5,Not as described,200.0,66,Female,City80,Gift Card
PROD00000417,USER00000417,2023-09-24,2024-11-27,Toys,139.48,2,Not as described,430.0,68,Female,City83,Gift Card
PROD00000421,USER00000421,2023-08-09,2024-03-28,Home,187.12,4,Defective,232.0,45,Male,City91,Debit Card
PROD00000425,USER00000425,2023-02-16,2024-11-12,Home,222.67,2,Wrong item,635.0,38,Male,City1,Debit Card
PROD00000429,USER00000429,2023-06-06,2023-12-27,Toys,171.71,4,Defective,204.0,36,Female,City1,Debit Card
PROD00000431,USER00000431,2023-02-22,2023-03-22,Toys,257.92,5,Not as described,28.0,60,Female,City42,PayPal
PROD00000434,USER00000434,2023-07-07,2024-02-03,Electronics,67.0,5,Wrong item,211.0,55,Female,City71,Credit Card
PROD00000439,USER00000439,2023-01-12,2023-09-01,Toys,396.86,1,Changed mind,232.0,62,Female,City99,Credit Card
PROD00000445,USER00000445,2023-05-09,2023-12-08,Books,287.53,2,Wrong item,213.0,20,Female,City62,Credit Card
PROD00000453,USER00000453,2023-07-26,2024-08-30,Books,388.41,1,Not as described,401.0,52,Male,City45,Credit Card
PROD00000458,USER00000458,2023-11-15,2024-10-31,Home,348.92,3,Changed mind,351.0,38,Female,City28,Credit Card
PROD00000463,USER00000463,2023-04-17,2024-08-10,Clothing,389.97,5,Not as described,481.0,40,Male,City91,PayPal
PROD00000464,USER00000464,2023-08-11,2024-10-06,Home,10.16,1,Changed mind,422.0,23,Female,City3,Credit Card
PROD00000468,USER00000468,2023-01-20,2023-11-10,Clothing,62.01,5,Changed mind,294.0,20,Male,City80,Gift Card
PROD00000472,USER00000472,2024-01-11,2024-06-30,Electronics,358.53,4,Wrong item,171.0,36,Female,City28,Debit Card
PROD00000476,USER00000476,2023-01-30,2024-07-25,Clothing,264.78,3,Defective,542.0,32,Female,City65,Credit Card
PROD00000478,USER00000478,2024-04-24,2024-12-24,Books,334.58,1,Changed mind,244.0,54,Female,City67,Gift Card
PROD00000480,USER00000480,2024-01-16,2024-11-30,Clothing,422.59,5,Defective,319.0,20,Male,City5,Credit Card
PROD00000482,USER00000482,2023-06-08,2023-10-07,Books,351.3,5,Not as described,121.0,22,Female,City41,Credit Card
PROD00000483,USER00000483,2024-02-14,2024-09-04,Home,496.87,2,Defective,203.0,40,Male,City42,PayPal
PROD00000484,USER00000484,2023-03-13,2024-11-07,Toys,374.84,1,Changed mind,605.0,66,Male,City86,Debit Card
PROD00000485,USER00000485,2024-04-14,2024-08-12,Books,200.99,2,Changed mind,120.0,46,Male,City64,Gift Card
PROD00000486,USER00000486,2023-10-30,2024-08-02,Toys,472.27,1,Not as described,277.0,51,Male,City86,PayPal
PROD00000488,USER00000488,2024-02-14,2024-07-04,Books,211.23,1,Changed mind,141.0,46,Female,City7,PayPal
PROD00000492,USER00000492,2023-01-03,2023-08-07,Books,96.48,3,Changed mind,216.0,43,Male,City34,Credit Card
PROD00000493,USER00000493,2023-08-14,2024-03-19,Books,287.9,1,Wrong item,218.0,58,Female,City80,PayPal
PROD00000494,USER00000494,2023-04-16,2024-03-04,Books,393.04,3,Wrong item,323.0,49,Male,City2,PayPal
PROD00000497,USER00000497,2023-06-21,2024-11-07,Books,472.16,3,Changed mind,505.0,25,Female,City84,PayPal
PROD00000498,USER00000498,2023-06-26,2023-07-06,Toys,327.46,1,Not as described,10.0,56,Male,City65,Debit Card
PROD00000510,USER00000510,2023-04-07,2023-07-19,Home,346.91,4,Changed mind,103.0,53,Female,City47,Gift Card
PROD00000514,USER00000514,2023-12-27,2024-03-03,Books,187.72,2,Wrong item,67.0,37,Female,City58,Debit Card
PROD00000530,USER00000530,2023-01-26,2024-03-27,Books,283.13,4,Not as described,426.0,19,Male,City36,Credit Card
PROD00000537,USER00000537,2023-11-24,2024-12-22,Toys,183.98,1,Defective,394.0,70,Male,City14,Debit Card
PROD00000543,USER00000543,2023-04-17,2023-12-21,Books,126.77,2,Defective,248.0,33,Female,City59,Credit Card
PROD00000550,USER00000550,2023-06-16,2024-06-04,Clothing,263.39,1,Changed mind,354.0,43,Female,City62,Credit Card
PROD00000554,USER00000554,2023-09-25,2024-09-14,Books,391.94,5,Not as described,355.0,59,Female,City71,Debit Card
PROD00000555,USER00000555,2023-11-12,2024-12-28,Books,129.62,3,Wrong item,412.0,58,Female,City26,Debit Card
PROD00000557,USER00000557,2023-01-20,2023-03-12,Clothing,422.06,2,Defective,51.0,45,Male,City21,Debit Card
PROD00000560,USER00000560,2023-11-25,2023-12-13,Books,422.32,1,Defective,18.0,19,Female,City54,Credit Card
PROD00000562,USER00000562,2024-09-26,2024-10-15,Electronics,75.28,1,Wrong item,19.0,35,Male,City12,Credit Card
PROD00000564,USER00000564,2023-02-28,2023-11-17,Toys,25.59,1,Not as described,262.0,50,Female,City55,Credit Card
PROD00000565,USER00000565,2023-04-11,2023-08-10,Clothing,272.58,5,Defective,121.0,57,Female,City64,Credit Card
PROD00000566,USER00000566,2024-01-05,2024-02-02,Home,428.39,5,Wrong item,28.0,67,Female,City16,PayPal
PROD00000567,USER00000567,2023-09-18,2024-04-27,Toys,365.81,4,Defective,222.0,38,Male,City46,PayPal
PROD00000568,USER00000568,2023-02-05,2024-12-25,Books,335.54,3,Changed mind,689.0,56,Female,City82,Gift Card
PROD00000570,USER00000570,2023-11-17,2023-12-27,Books,283.3,5,Not as described,40.0,34,Male,City17,Credit Card
PROD00000577,USER00000577,2024-05-10,2024-11-06,Electronics,322.32,2,Defective,180.0,57,Female,City14,Debit Card
PROD00000579,USER00000579,2023-09-20,2024-07-21,Books,309.62,2,Changed mind,305.0,43,Male,City3,Gift Card
PROD00000588,USER00000588,2023-11-17,2024-07-24,Clothing,129.14,5,Not as described,250.0,48,Female,City67,Credit Card
PROD00000592,USER00000592,2023-03-03,2024-10-03,Home,41.35,3,Defective,580.0,21,Female,City64,Credit Card
PROD00000594,USER00000594,2024-10-19,2024-11-08,Toys,381.78,1,Changed mind,20.0,70,Female,City94,PayPal
PROD00000600,USER00000600,2024-01-08,2024-09-27,Clothing,392.78,5,Defective,263.0,66,Male,City63,Gift Card
PROD00000601,USER00000601,2023-02-13,2023-04-12,Toys,39.22,4,Not as described,58.0,69,Male,City7,Gift Card
PROD00000607,USER00000607,2023-03-15,2023-12-11,Books,80.86,2,Not as described,271.0,27,Male,City19,PayPal
PROD00000608,USER00000608,2023-03-09,2024-10-23,Clothing,157.19,3,Wrong item,594.0,58,Female,City36,Credit Card
PROD00000615,USER00000615,2023-04-21,2024-06-03,Clothing,74.1,3,Not as described,409.0,29,Male,City74,PayPal
PROD00000620,USER00000620,2023-01-08,2023-03-27,Home,335.17,4,Changed mind,78.0,65,Female,City1,PayPal
PROD00000621,USER00000621,2023-12-15,2024-03-18,Home,141.34,2,Defective,94.0,27,Female,City49,PayPal
PROD00000625,USER00000625,2023-01-03,2023-08-16,Electronics,332.89,3,Changed mind,225.0,29,Male,City63,Credit Card
PROD00000626,USER00000626,2024-10-10,2024-11-03,Electronics,120.27,1,Defective,24.0,38,Male,City94,Debit Card
PROD00000629,USER00000629,2023-04-18,2023-04-19,Books,283.36,2,Not as described,1.0,65,Female,City31,Credit Card
PROD00000630,USER00000630,2023-05-17,2024-08-03,Clothing,422.22,3,Defective,444.0,52,Female,City96,PayPal
PROD00000632,USER00000632,2023-01-30,2024-02-09,Home,26.78,3,Wrong item,375.0,31,Female,City82,Debit Card
PROD00000634,USER00000634,2024-01-17,2024-10-20,Toys,214.22,1,Defective,277.0,39,Female,City34,Gift Card
PROD00000635,USER00000635,2024-06-08,2024-10-27,Home,207.46,3,Not as described,141.0,40,Female,City40,Credit Card
PROD00000638,USER00000638,2023-06-19,2024-01-12,Electronics,26.1,4,Wrong item,207.0,33,Female,City83,PayPal
PROD00000649,USER00000649,2024-02-18,2024-08-22,Electronics,393.02,4,Wrong item,186.0,40,Female,City71,PayPal
PROD00000654,USER00000654,2023-07-13,2023-07-18,Toys,26.48,5,Wrong item,5.0,27,Male,City3,Debit Card
PROD00000665,USER00000665,2024-06-20,2024-10-09,Books,159.64,3,Defective,111.0,23,Female,City4,PayPal
PROD00000670,USER00000670,2023-01-08,2024-09-18,Home,45.48,1,Not as described,619.0,69,Female,City95,PayPal
PROD00000671,USER00000671,2024-03-12,2024-10-20,Home,196.78,1,Defective,222.0,30,Male,City100,PayPal
PROD00000678,USER00000678,2023-06-06,2023-12-29,Clothing,65.33,4,Wrong item,206.0,39,Female,City80,PayPal
PROD00000682,USER00000682,2023-05-15,2024-07-17,Home,337.24,5,Changed mind,429.0,51,Male,City72,Gift Card
PROD00000689,USER00000689,2023-02-19,2023-05-10,Clothing,101.48,2,Not as described,80.0,42,Male,City32,PayPal
PROD00000690,USER00000690,2023-08-20,2023-10-07,Toys,166.33,4,Changed mind,48.0,53,Male,City87,PayPal
PROD00000697,USER00000697,2023-02-09,2023-08-03,Electronics,358.74,3,Not as described,175.0,40,Male,City41,Credit Card
PROD00000707,USER00000707,2023-03-13,2023-06-28,Books,45.84,2,Wrong item,107.0,50,Female,City94,Debit Card
PROD00000714,USER00000714,2023-02-23,2023-03-12,Books,116.07,5,Not as described,17.0,56,Female,City45,Gift Card
PROD00000721,USER00000721,2023-03-13,2023-04-08,Clothing,9.08,3,Wrong item,26.0,32,Male,City59,Credit Card
PROD00000723,USER00000723,2023-08-07,2023-11-01,Clothing,78.14,5,Defective,86.0,60,Male,City21,Debit Card
PROD00000725,USER00000725,2023-06-05,2024-08-03,Books,42.72,2,Defective,425.0,40,Female,City58,Debit Card
PROD00000735,USER00000735,2023-05-29,2024-07-24,Home,100.78,3,Not as described,422.0,33,Male,City94,Gift Card
PROD00000736,USER00000736,2023-11-04,2023-12-03,Clothing,94.91,5,Wrong item,29.0,50,Male,City1,Gift Card
PROD00000738,USER00000738,2024-04-24,2024-08-10,Electronics,46.96,2,Changed mind,108.0,26,Male,City29,PayPal
PROD00000739,USER00000739,2023-08-02,2024-03-17,Electronics,344.28,3,Not as described,228.0,70,Female,City29,PayPal
PROD00000740,USER00000740,2023-02-09,2023-03-11,Clothing,403.35,5,Changed mind,30.0,29,Female,City74,Gift Card
PROD00000743,USER00000743,2023-04-18,2024-11-02,Home,36.7,1,Not as described,564.0,26,Female,City31,Gift Card
PROD00000748,USER00000748,2023-02-22,2023-12-30,Home,407.85,5,Not as described,311.0,48,Male,City41,Gift Card
PROD00000749,USER00000749,2023-08-03,2024-01-02,Electronics,355.27,5,Changed mind,152.0,70,Female,City86,Credit Card
PROD00000750,USER00000750,2023-06-14,2023-07-12,Home,357.52,3,Changed mind,28.0,47,Male,City55,Credit Card
PROD00000752,USER00000752,2023-06-29,2024-11-17,Electronics,175.24,2,Changed mind,507.0,22,Male,City16,Debit Card
PROD00000754,USER00000754,2024-07-31,2024-11-09,Books,454.4,4,Wrong item,101.0,58,Female,City68,Gift Card
PROD00000757,USER00000757,2023-04-16,2023-11-18,Toys,20.02,5,Defective,216.0,19,Male,City78,Credit Card
PROD00000761,USER00000761,2023-03-12,2024-01-29,Books,402.9,4,Defective,323.0,50,Female,City84,PayPal
PROD00000762,USER00000762,2023-02-08,2023-07-27,Toys,382.59,2,Changed mind,169.0,53,Male,City24,PayPal
PROD00000763,USER00000763,2023-05-13,2023-12-29,Clothing,165.6,4,Changed mind,230.0,53,Female,City17,Credit Card
PROD00000771,USER00000771,2023-04-29,2023-05-03,Home,257.6,3,Wrong item,4.0,69,Male,City50,PayPal
PROD00000775,USER00000775,2024-01-12,2024-05-18,Books,198.82,2,Wrong item,127.0,52,Male,City70,Gift Card
PROD00000777,USER00000777,2024-03-09,2024-11-02,Toys,415.28,3,Changed mind,238.0,19,Female,City54,Debit Card
PROD00000779,USER00000779,2023-05-17,2023-10-18,Books,193.53,5,Defective,154.0,42,Male,City50,Debit Card
PROD00000781,USER00000781,2023-05-31,2023-08-11,Books,174.71,4,Defective,72.0,60,Female,City85,Debit Card
PROD00000782,USER00000782,2024-03-09,2024-07-30,Home,338.78,3,Changed mind,143.0,66,Male,City89,Gift Card
PROD00000786,USER00000786,2024-01-01,2024-07-11,Books,250.63,1,Wrong item,192.0,39,Female,City1,Debit Card
PROD00000790,USER00000790,2023-01-26,2024-08-09,Clothing,484.56,3,Changed mind,561.0,46,Female,City39,Debit Card
PROD00000792,USER00000792,2023-06-29,2024-06-11,Electronics,455.97,4,Not as described,348.0,61,Male,City3,Debit Card
PROD00000794,USER00000794,2023-06-11,2023-09-03,Clothing,472.77,2,Not as described,84.0,37,Male,City89,Gift Card
PROD00000799,USER00000799,2024-04-14,2024-09-18,Books,133.34,3,Changed mind,157.0,28,Male,City39,PayPal
PROD00000801,USER00000801,2023-01-12,2023-04-17,Home,131.3,4,Changed mind,95.0,20,Male,City54,Credit Card
PROD00000802,USER00000802,2023-06-03,2024-08-05,Books,494.15,2,Wrong item,429.0,70,Female,City68,PayPal
PROD00000806,USER00000806,2024-02-22,2024-10-25,Toys,221.45,5,Not as described,246.0,47,Male,City35,PayPal
PROD00000809,USER00000809,2023-08-22,2023-12-04,Electronics,481.63,5,Defective,104.0,21,Female,City60,Credit Card
PROD00000813,USER00000813,2023-08-10,2024-05-11,Electronics,469.16,4,Defective,275.0,43,Male,City68,PayPal
PROD00000817,USER00000817,2023-03-21,2024-12-14,Toys,215.54,1,Wrong item,634.0,19,Male,City45,Debit Card
PROD00000819,USER00000819,2023-02-25,2024-02-14,Books,197.21,3,Changed mind,354.0,24,Male,City16,Gift Card
PROD00000821,USER00000821,2023-08-28,2024-02-13,Books,486.34,4,Not as described,169.0,42,Female,City66,Credit Card
PROD00000824,USER00000824,2024-05-31,2024-10-24,Clothing,271.1,4,Defective,146.0,18,Male,City82,Credit Card
PROD00000827,USER00000827,2024-01-08,2024-07-31,Home,227.92,2,Wrong item,205.0,20,Female,City67,Gift Card
PROD00000828,USER00000828,2023-03-18,2024-01-28,Toys,292.97,5,Not as described,316.0,68,Female,City54,Gift Card
PROD00000834,USER00000834,2024-06-07,2024-08-17,Home,258.37,3,Changed mind,71.0,22,Male,City94,PayPal
PROD00000835,USER00000835,2023-03-14,2024-07-19,Electronics,270.07,2,Changed mind,493.0,48,Male,City68,PayPal
PROD00000837,USER00000837,2023-10-03,2024-12-03,Toys,169.56,4,Changed mind,427.0,28,Female,City18,Gift Card
PROD00000842,USER00000842,2023-05-25,2024-11-02,Clothing,494.3,4,Not as described,527.0,43,Male,City95,Gift Card
PROD00000846,USER00000846,2024-07-19,2024-08-04,Home,424.75,3,Not as described,16.0,36,Male,City34,Credit Card
PROD00000848,USER00000848,2023-07-22,2024-08-25,Books,491.06,1,Defective,400.0,20,Male,City35,Credit Card
PROD00000857,USER00000857,2023-06-08,2023-08-17,Electronics,378.22,1,Wrong item,70.0,50,Female,City15,PayPal
PROD00000860,USER00000860,2023-02-27,2024-10-27,Clothing,110.88,2,Changed mind,608.0,37,Female,City33,Debit Card
PROD00000873,USER00000873,2023-11-22,2024-10-25,Books,363.96,1,Not as described,338.0,21,Female,City91,Gift Card
PROD00000875,USER00000875,2023-03-05,2024-10-27,Home,90.76,4,Wrong item,602.0,61,Male,City99,PayPal
PROD00000878,USER00000878,2023-11-25,2024-04-14,Home,248.88,1,Changed mind,141.0,22,Female,City77,Debit Card
PROD00000880,USER00000880,2023-08-25,2024-12-12,Electronics,195.92,5,Wrong item,475.0,24,Female,City58,Gift Card
PROD00000881,USER00000881,2023-12-08,2024-04-03,Clothing,15.61,1,Defective,117.0,35,Female,City13,Debit Card
PROD00000884,USER00000884,2024-01-19,2024-03-05,Electronics,313.42,5,Not as described,46.0,23,Male,City48,Credit Card
PROD00000885,USER00000885,2023-11-11,2024-03-07,Clothing,235.24,1,Changed mind,117.0,21,Female,City57,Credit Card
PROD00000890,USER00000890,2023-10-25,2024-06-25,Clothing,23.11,1,Changed mind,244.0,40,Female,City32,Debit Card
PROD00000894,USER00000894,2023-04-13,2023-05-23,Toys,226.34,2,Wrong item,40.0,64,Male,City97,Gift Card
PROD00000895,USER00000895,2023-03-28,2023-11-07,Books,76.37,3,Defective,224.0,57,Female,City86,Credit Card
